"DateMadePublic","Company","City","State","TypeofBreach","TypeofOrganization","RecordsBreached","TotalRecords","DescriptionofIncident","Information.Source","Year","lon","lat"
"October 23, 2007","Dixie State College","St","George","Unintended Disclosure","Educational Institutions","11,000",11000,"An unauthorized person reportedly 
            gained access to a computer system and confidential files, including 
            Social Security numbers, birth date information and addresses for 
            some 11,000 alumni and current DSC employees who graduated or worked 
            at DSC from 1986 to 2005.","Dataloss DB","2007",-113.5684164,37.0965278
"October 23, 2007","Bates College","Lewiston","Maine","Unintended Disclosure","Educational Institutions","500",500,"Two publicly accessible documents 
            that contained the records of nearly 500 recipients of the federal 
            Perkins Loan, along with each recipient's address, date of birth, 
            Social Security number, legal name and loan amount, were accessible 
            on the Bates network.","Dataloss DB","2007",-70.2147764,44.100351
"October 18, 2007","University of Cincinnati","Cincinnati","Ohio","Portable Device","Educational Institutions","7,000",7000,"The personal information of thousands 
            of University of Cincinnati students and graduates has been stolen. 
            A flash drive was taken from a UC employee last month. It contained 
            the Social Security numbers and other data for more than 7,000 people.","Dataloss DB","2007",-84.5120196,39.1031182
"October 17, 2007","Louisiana Office of Student Financial Assistance, Iron Mountain","Baton","Rouge","Portable Device","Educational Institutions","0",0,"Sensitive data for virtually all 
            Louisiana college applicants and their parents over the past nine 
            years were in a case lost last month during a move. The data included 
            Social Security numbers for applicants and their parents. The bank 
            account information for START account holders also was involved.","Dataloss DB","2007",-91.1403196,30.4582829
"October 16, 2007","Administaff Inc.","Houston","Texas","Portable Device","Business Other","159,000",159000,"Current and former workers personal 
            data may be compromised because of a stolen laptop. The data wasn't 
            encrypted when it was stored on the portable computer, which is password-protected. 
            Data stored on the laptop included names, addresses and Social Security 
            numbers for most employees paid by Administaff in 2006.","Dataloss DB","2007",-95.3698028,29.7604267
"October 17, 2007","Home Depot","Boston","Massachusetts","Portable Device","Retail Merchant Including Online Retail","10,000",10000,"A laptop computer containing about 
            10,000 employees' personal data was stolen from a regional manager's 
            car. The computer, which was password protected, didn't contain any 
            customer information. The laptop contained names, home addresses and 
            Social Security numbers of certain Home Depot employees.","Dataloss DB","2007",-71.0588801,42.3600825
"October 10, 2007","Wheels Inc., Pfizer","Des","Plaines","Unintended Disclosure","Business Other","1,800 + 23             Not included in Total because it is not clear if SSNs were exposed.",0,"The spouses and domestic partners              of about 1,800 Pfizer employees, including 23 from Connecticut, learned              late last month about a data breach at Wheels Inc., which provides              cars to the company, mostly for use by its sales force. The breach              at Wheels, first reported by the Pharmalot Web site, released onto              the Internet names, addresses, birth dates and driver's license numbers,              but not Social Security numbers, according to the company.","Dataloss DB","2007",-87.8833991,42.0333623
"October 15, 2007","Transportation Security Administration","Arlington","Virginia","Portable Device","Government and Military","3,930",3930,"Two laptop computers with detailed 
            personal information about commercial drivers across the country who 
            transport hazardous materials are missing and considered stolen. The 
            laptops contained the names, addresses, birthdays, commercial driver's 
            license numbers and, in some cases, Social Security numbers of 3,930 
            people.","Dataloss DB","2007",-77.0909809,38.8816208
"October 12, 2007","King County Transportation Department","Seattle","Washington","Portable Device","Government and Military","1,400",1400,"A laptop computer containing 
            personal information about current and former employees has been stolen. 
            Workers' names, addresses and Social Security numbers were on the 
            password-protected laptop, which was stolen during a Sept. 28 home 
            burglary. The information was not encrypted.","Dataloss DB","2007",-122.3320708,47.6062095
"October 10, 2007","Commerce Bank","Wichita","Kansas","Hacking or Malware","Financial and Insurance Services","20",20,"A hacker gained access to a database 
            with about 3,000 customer records and accessed data belonging to 20 
            of them. The bank is contacting those who may have been affected. 
            The hacking was quickly detected and stopped, according to Commerce 
            Bank, which then notified law enforcement.","Dataloss DB","2007",-97.330053,37.6871761
"October 9, 2007","Pembroke Schools       ","Pembroke","Massachusetts","Unintended Disclosure","Educational Institutions","0",0,"Personal information on anyone 
            who worked or volunteered for the Pembroke schools in the last four 
            years was accessible via the Internet because of a weakness in the 
            district's computer system. The information included names, 
            birth dates and Social Security numbers.","Dataloss DB","2007",-70.8092,42.0714925
"October 8, 2007","University of Iowa","Iowa","City","Portable Device","Educational Institutions","184",184,"A laptop computer was stolen from 
            a former teaching assistant. The theft of the computer, which occurred 
            last month in a break-in of the instructor's home, contained class 
            records such as attendance, test scores, and grades of students who 
            took his philosophy courses at the UI between 2002 and 2006. Social 
            Security numbers were also present in 100 of the records.","Dataloss DB","2007",-91.5301683,41.6611277
"October 8, 2007","Carnegie Mellon University","Pittsburgh","Pennsylvania","Portable Device","Educational Institutions","0",0,"Two laptops were stolen from the 
            office of a computer science professor. Both of the computers were 
            believed to have contained significant personal identifying data, 
            such as Social Security numbers.","Dataloss DB","2007",-79.9958864,40.4406248
"October 4, 2007","Massachusetts Division of Professional Licensure","Boston","Massachusetts","Unintended Disclosure","Government and Military","450,000",450000,"Social Security numbers of about 
            450,000 licensed professionals were inadvertently released. The information 
            was mailed last month to agencies that submitted a public records 
            request for the names and addresses of professionals licensed by the 
            division. The division mailed 28 computer disks to 23 agencies that 
            use the information as a marketing or promotional tool. The 
            disks would normally contain only the names and addresses of individuals 
            licensed through the Division of Professional Licensure and the Division 
            of Health Professions Licensure. However, the disks also included 
            Social Security numbers.","Dataloss DB","2007",-71.0588801,42.3600825
"October 2, 2007","The Nature Conservancy","Arlington","Virginia","Hacking or Malware","Nonprofits","14,000",14000,"A hacker illegally gained access 
            to a computer of The Nature Conservancy containing personal information 
            on current and former employees and their dependents. The stolen information 
            included the names, home addresses, Social Security numbers and birth 
            dates. It also included direct deposit bank account numbers for employees 
            who were on the payroll between 2000 and 2004, as well as the Social 
            Security numbers of those employees' dependents. When employees 
            accessed a particular Web site, the site planted a program on the 
            employees' computers that copied the contents of the hard drives 
            and sent the information to the hacker.","Dataloss DB","2007",-77.0909809,38.8816208
"September 24, 2007","Utah Department of Workforce Services","American","Fork","Portable Device","Government and Military","2,000",2000,"A laptop computer containing a 
            spreadsheet with the the Social Security numbers and other personal 
            information of about 2,000 people was reported stolen.","Dataloss DB","2007",-111.7957645,40.3768954
"October 8, 2007","Semtech","Camarillo","California","Portable Device","Business Other","0",0,"A laptop computer and other personal 
            belongings were stolen from one of Semtech's vendors. The computer 
            was not stolen from a Semtech facility, but may have contained computerized 
            data relating to Semtech employees. Semtech declined to provide further 
            details of the incident, such as what personal employee data may have 
            been put at risk, when the theft happened or how long it took the 
            company to inform its workers of the potential breach.","Dataloss DB","2007",-119.0376023,34.2163937
"September 21, 2007","City of Columbus, Ohio","Columbus","Ohio","Stationary Device","Government and Military","3,500",3500,"The city of Columbus is offering 
            identity-theft protection services to more than 3,000 people whose 
            Social Security numbers were on three computers stolen from a warehouse. 
            The theft affected people who had signed up for the city's Mobile 
            Tool Library, which lends power tools, lawn mowers and supplies.","Dataloss DB","2007",-82.9987942,39.9611755
"September 21, 2007","Citigroup, ABN Amro Mortgage Group","Norridge","Illinois","Unintended Disclosure","Financial and Insurance Services","5,208",5208,"Three spreadsheets containing 
            5,200 Social Security numbers and other personal details about customers 
            were inadvertently leaked over an online file-sharing network by a 
            former employee. Tiversa, a company that monitors P2P networks, found 
            Excel spreadsheets from the desktop of a financial analyst at ABN 
            Amro Mortgage Group running LimeWire. Although Tiversa found over 
            10,000 files, deduplication revealed only 5,208 unique Social Security 
            numbers, along with names and what type of mortgage each customer 
            had.","Media","2007",-87.827284,41.9633641
"September 19, 2007","Kansas University","Lawrence","Kansas","Physical Loss","Educational Institutions","0",0,"A number of documents containing 
            Kansas University student, faculty and staff personal information 
            were recovered from the recycling and trash in the Mathematics Department 
            at Kansas University. The information included student exams, student 
            change of grade forms, class rosters, copies of health insurance cards, 
            copies of immigration forms as well as a copy of a Social Security 
            card.","Media","2007",-95.2352501,38.9716689
"September 19, 2007","University of Michigan School of Nursing","Ann","Arbor","Portable Device","Healthcare Medical Providers and Medical Insurance Services","8,585",8585,"Backup tapes containing patient 
            information like Social Security numbers, patient names and addresses 
            were stolen from the School of Nursing two weeks ago.","Dataloss DB","2007",-83.7430378,42.2808256
"September 20, 2007","State of Connecticut, Accenture Ltd.","Hartford","Connecticut","Portable Device","Government and Military","58",58,"A backup tape was stolen in 
              Ohio in June and contained data removed by Accenture from the state's 
              Core-CT computer system, which performs all of the state's payroll, 
              personnel, purchasing, accounting and inventory functions. The backup 
              tape contained state agency bank account numbers, bank names and 
              types of accounts, as well as the names and Social Security numbers 
              of 58 of Connecticut taxpayers. Connecticut officials today revealed 
              plans to file a civil complaint against IT consulting giant Accenture 
              Ltd. related to this security breach involving stolen records tied 
              to state agency bank accounts worth millions of dollars.","Media","2007",-72.6850932,41.7637111
"September 12, 2007","TennCare, Americhoice Inc.   ","",NA,"Portable Device","Healthcare Medical Providers and Medical Insurance Services","67,000",67000,"There are 67,000 TennCare 
            enrollees at risk of identity theft after a courier service lost their 
            personal information. The lost information includes names, Social 
            Security Numbers, birthdays and addresses.","Dataloss DB","2007",18.49041,-22.95764
"September 14, 2007","Tennessee Tech University","Cookeville","Tennessee","Unintended Disclosure","Educational Institutions","3,100",3100,"Some 3,100 current or past students 
            who owe the university money were notified today that some of their 
            personal data may have been compromised. A technical problem in the 
            way student bills are printed resulted in the chance that some student 
            social security numbers and personal identification numbers may have 
            been sent to another student's address.","Dataloss DB","2007",-85.5016423,36.162839
"September 13, 2007","Voxant.com","Reston","Virginia","Hacking or Malware","Business Other","4,500",4500,"The Voxant online 
            ecommerce store server was hacked using what appeared to be a typical 
            phishing scheme. The server is seperate from the primary business 
            at www.voxant.com. The affected server was immediately taken offline 
            and removed the offending phising pages. Encrypted credit card numbers 
            could have been accessed during the incident. Although the credit 
            card numbers were encrypted, the encryption key was not well protected. 
            The database up through June 19-20 could have been affected, representing 
            approximately 4,500 US customers.","Dataloss DB","2007",-77.3570028,38.9586307
"September 11, 2007","Pennsylvania Public Welfare Department","Harrisburg","Pennsylvania","Stationary Device","Government and Military","2,000",2000,"Two computers containing 
            the mental health histories of more than 300,000 medical-assistance 
            recipients were stolen. The computer work stations were taken during 
            an overnight break-in at an office. The mental health information 
            on the computers identified people by codes and not by name. The information 
            also was protected by multiple passwords, but full names and Social 
            Security numbers of nearly 2,000 people were also on the computers.","Dataloss DB","2007",-76.8867008,40.2731911
"September 10, 2007","Purdue University","West","Lafayette","Unintended Disclosure","Educational Institutions","111",111,"The university is 
            warning those who were students in the fall of 2004 that information 
            about them was inadvertently posted on the Internet. The information 
            was in a document that contained the names and Social Security numbers 
            of students in the Animal Sciences 102 class. The page was no longer 
            in use but was on a computer server connected to the Internet. The 
            document was found recently through an internal search and reported 
            to the chief information security officer at Purdue.","Dataloss DB","2007",-86.9080655,40.4258686
"September 9, 2007","De Anza College  ","Cupertino","California","Portable Device","Educational Institutions","4,375",4375,"Thousands of former 
            students might be at risk for identity fraud after an instructor's 
            laptop computer, containing students' personal information, was stolen 
            last month. The computer contained the students' names, addresses, 
            grades and in many cases Social Security numbers.","Dataloss DB","2007",-122.0321823,37.3229978
"September 6, 2007"," University of South Carolina","Columbia","South","Unintended Disclosure","Educational Institutions","1,482",1482,"A number of files 
            containing Social Security numbers, test scores and course grades 
            were exposed online. It appears the person responsible for the breach 
            may not have known enough about computers to realize the information 
            could be accessed outside the university system.","Dataloss DB","2007",-81.0348144,34.0007104
"September 4, 2007","Pfizer           ","New","York","Insider","Business Other","34,000",34000,"A security breach 
            may have caused employees' names, Social Security numbers, addresses, 
            dates of birth, phone numbers, bank account numbers, credit card information, 
            signatures and other personal information to be publicly exposed. 
            The breach occurred late last year when a Pfizer employee removed 
            copies of confidential information from a Pfizer computer system without 
            the company's knowledge or approval. Pfizer didn't become aware of 
            the breach until July 10.","Dataloss DB","2007",-74.0059728,40.7127753
"September 1, 2007","Johns Hopkins Hospital","Baltimore","Maryland","Stationary Device","Healthcare Medical Providers and Medical Insurance Services","5,783",5783,"A desktop computer 
            containing the personal information of 5,783 Johns Hopkins Hospital 
            patients was stolen. The computer included patients' names, Social 
            Security numbers, birth dates and medical histories.","Dataloss DB","2007",-76.6121893,39.2903848
"August 30, 2007","Maryland Department of the Environment","Annapolis","Maryland","Portable Device","Government and Military","0",0,"A laptop computer 
            containing personal information on people with state licenses has 
            been stolen from a vehicle. It contains four databases that include 
            personal information related to licenses issued by four state boards.","Dataloss DB","2007",-76.4921829,38.9784453
"August 30, 2007"," AT&T","San","Antonio","Portable Device","Business Other","0",0,"A laptop containing              unencrypted personal data on current and former employees of the former              AT&T Corp. was stolen recently from the car of an employee of              a professional services firm doing work for the company. That theft              prompted the company to notify an unspecified number of individuals              about the potential compromise of their Social Security numbers, names              and other personal details.","Media","2007",-98.4936282,29.4241219
"August 27, 2007","University of Illinois","Champaign","Urbana","Unintended Disclosure","Educational Institutions","5,247              Not added to total. It does not appear that SSNs or financial account                numbers were exposed.",0,"An e-mail sent Aug.              24 to about 700 University of Illinois engineering students contained              a spreadsheet listing personal information, including addresses and              grade point averages, of thousands of students. The spreadsheet attached              to the mass mail did not contain Social Security numbers or the students'              university identification numbers. But, the person who sent the mass              e-mail attached a spreadsheet containing information on all 5,247              students in the College of Engineering. The spreadsheet included each              student's name, e-mail address, major, gender, race and ethnicity,              class, date admitted, spring 2007 grade point average, cumulative              GPA, plus local address and phone number.","Media","2007",-88.2433829,40.1164204
"August 26, 2007","American Ex-Prisoners of War","","Texas","Unknown","Nonprofits","35,000",35000,"Personal records including addresses and Social Security numbers of more than 35,000 veterans and their families were stolen this month from the offices of a POW support organization in Texas. Digital and paper records included information on the group's entire membership, including addresses, dates of birth, Social Security numbers and VA claims data.","","2007",-99.9018131,31.9685988
"August 23, 2007","New York City Financial nformation Services Agency","New","York","Portable Device","Government and Military","280,000              Not added to total. It is not clear that SSNs or financial account                numbers were exposed.",0,"A laptop loaded with              financial information on as many as 280,000 city retirees was stolen              from a consultant who took the computer to a restaurant.","Dataloss DB","2007",-74.0059728,40.7127753
"August 23, 2007","Loomis Chaffee School","Windsor","Connecticut","Unknown","Educational Institutions","0",0,"Valuable computer 
            equipment, including two large storage devices were stolen during 
            a night time burglary from the locked IT facility on campus. The stolen 
            storage devices contained information about some recent graduates 
            of the school, including their names, Social Security numbers, and 
            contact information from their days as students at the school.","Dataloss DB","2007",-72.6437022,41.8525984
"August 21, 2007","Walter Reed Army Institute of Research","Silver","Spring","Physical Loss","Government and Military","0",0,"Boxes of documents 
            containing personal information were supposed to be shredded but instead 
            turned up last week in an off-base trash bin. Police do not believe 
            anyone had access to the information other than the person who found 
            the records. An investigation is under way to determine precisely 
            what information they held and why they appeared off base.","Dataloss DB","2007",-77.026088,38.9906657
"August 21, 2007","West Virginia Board of Barbers and Cosmetologists","Charleston","West","Unknown","Business Other","0",0,"Every barber and cosmetologist 
            licensed in the state of West Virginia since 1986 could now potentially 
            be a victim of identity theft. Someone broke into the second floor 
            office of the Board of Barbers and Cosmetologists and stole a safe. 
            The director of the agency says the safe contains the personal information 
            of thousands of hair dressers.","Dataloss DB","2007",-81.6326234,38.3498195
"August 15, 2007","Idaho Army National Guard","Boise","Idaho","Portable Device","Government and Military","3,400",3400,"A small computer drive 
            containing Social Security numbers and other personal information 
            about every Army National Guard soldier in Idaho has been stolen.","Dataloss DB","2007",-116.2146068,43.6187102
"August 20, 2007","University of Toledo","Toledo","Ohio","Portable Device","Educational Institutions","0",0,"A laptop computer 
            has been stolen from an office in the Student Recreation Center that 
            contained some student and employee names and Social Security numbers.","Dataloss DB","2007",-83.555212,41.6639383
"August 15, 2007","Greater Detroit Hospital","Detroit","Michigan","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","0",0,"It's a repeat of a 
            problem that emerged late last year at the Greater Detroit Hospital 
            where metal thieves stripped everything from copper piping to windows, 
            exposing rows of abandoned patient files. Neighbors said there are 
            hundreds of boxes of patient files and payroll records inside, full 
            of credit card and Social Security numbers.","Media","2007",-83.0457538,42.331427
"August 15, 2007","Sky Lakes Medical Center, Verus Inc.","Klamath","Falls","Unintended Disclosure","Healthcare Medical Providers and Medical Insurance Services","30,000",30000,"The company that maintained 
            the hospital's online bill payment system, transferred patient information 
            from one server to another to perform maintenance but didn't take 
            security measures, leaving information such as names, addresses and 
            Social Security numbers exposed.","Dataloss DB","2007",-121.7816704,42.224867
"August 13, 2007","Pfizer, Axia Ltd.","New","York","Portable Device","Business Other","950",950,"Axia Ltd. had notified 
            Pfizer on June 14 of an incident in which two Pfizer laptops were 
            stolen from a locked car. The laptops, which disappeared May 31 in 
            Boston, included the names and Social Security numbers of health-care 
            professionals who were providing or considering providing contract 
            services for Pfizer, according to the letter.","Dataloss DB","2007",-74.0059728,40.7127753
"August 10, 2007","Loyola University","Chicago","Illinois","Stationary Device","Educational Institutions","5,800",5800,"A computer with the 
            Social Security numbers of 58 hundred students was discarded before 
            its hard drive was erased, forcing the school to warn students about 
            potential identify theft.","Dataloss DB","2007",-87.6297982,41.8781136
"August 11, 2007","Providence Alaska Medical Center              ","Anhorage","Alaska","Portable Device","Healthcare Medical Providers and Medical Insurance Services","250",250,"A laptop computer 
            that contains the personal information of patients is missing. On 
            the laptop there maybe names, medical record numbers, dates of birth, 
            patient diagnoses, Social Security numbers and addresses.","Dataloss DB","2007",-149.9002778,61.2180556
"August 10, 2007","Legacy Health System     ","Portland","Oregon","Insider","Healthcare Medical Providers and Medical Insurance Services","747",747,"A primary care physician 
            practice has discovered the theft of $13,000 in cash and personal 
            data for patients. Patient receipts, credit card transaction slips 
            and checks are also missing, in addition to Social Security numbers 
            and dates of birth for patients.  The investigation indicated it was a dishonest insider.","Dataloss DB","2007",-122.6764815,45.5230622
"August 8, 2007","Yale University","New","Haven","Stationary Device","Educational Institutions","10,200",10200,"Social Security numbers 
            for over 10,000 current and former students, faculty and staff were 
            compromised last month following the theft of two University computers","Dataloss DB","2007",-72.9278835,41.308274
"August 7, 2007","Electronic Data Systems","Montgomery","Alabama","Insider","Business Other","498",498,"A former employee 
            was arrested this week for allegedly trafficking in stolen identities 
            she received through her work with the company. She obtained 
            the names and identifying information of 498 Alabama Medicaid recipients 
            and subsequently sold 50 of those identities.","Dataloss DB","2007",-86.2999689,32.3668052
"August 7, 2007","Merrill Lynch","Hopewell","New","Unknown","Financial and Insurance Services","33,000",33000,"A computer device 
            apparently was stolen containing sensitive personal information, including 
            Social Security numbers, about some 33,000 employees.","Dataloss DB","2007",-74.7618284,40.3892726
"August 6, 2007","Verisign","Mountain","View","Portable Device","Business Other","0",0,"A laptop containing 
            extensive personal information on an undisclosed number of VeriSign 
            employees was stolen from an employee's car. The information included 
            names, addresses, Social Security numbers, dates of birth, telephone 
            numbers, and salary records.","Dataloss DB","2007",-122.0838511,37.3860517
"August 4, 2007","Kellogg Community Federal Credit Union","Battle","Creek","Stationary Device","Financial and Insurance Services","0",0,"A computer containing 
              personal information on an undisclosed number members was stolen. 
              A file containing some members' names, addresses, telephone numbers, 
              birth dates, Social Security numbers and account numbers was on 
              the computer's hard drive.","Dataloss DB","2007",-85.1797142,42.3211522
"August 3, 2007","WorkCare Orem","Pleasant","Grove","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","0",0,"A truck driver found 
            medical documents containing personal information in his truck and 
            on the ground while he picked up a load at a garbage transfer station. 
            The documents contained names, addresses, telephone numbers, Social 
            Security numbers and birth dates.","Media","2007",-111.73854,40.3641184
"August 3, 2007","Wabash Valley Correctional Facility","Indianapolis","Indiana","Unintended Disclosure","Government and Military","0",0,"A database containing 
            Social Security numbers, dates of birth and names of people employed 
            at the facility between 1997 and 2002 was unintentionally moved from 
            a secure private drive that was accessible only by the human resources 
            department to a shared directory that could be accessed by other employees 
            here.","Dataloss DB","2007",-86.158068,39.768403
"August 2, 2007","E.On - U.S.(energy services)","Louisville","Kentucky","Portable Device","Business Other","0",0,"A laptop with names, 
            Social Security numbers and birth dates of most E.On U.S. employees 
            and some retirees was stolen last month.","Dataloss DB","2007",-85.7584557,38.2526647
"August 2, 2007","University of Toledo","Toledo","Ohio","Stationary Device","Educational Institutions","0",0,"Two computers were stolen 
            with hard drives containing student and staff Social Security 
            numbers, names, and grade change information.","Dataloss DB","2007",-83.555212,41.6639383
"August 1, 2007","Lifetime Fitness ","Dallas","Texas","Physical Loss","Government and Military","0",0,"Staff had discarded 
            customer records in easily accessible trash cans behind Dallas businesses. 
            Information that was discarded contained names, addresses, Social 
            Security numbers, driver's license numbers and credit card information, 
            as well as the date of birth of several children. Lifetime Fitness 
            is based in Minnesota.","Dataloss DB","2007",-96.7969879,32.7766642
"July 28, 2007","Yuba County Health and Human Services","Yuba","County","Portable Device","Healthcare Medical Providers and Medical Insurance Services","70,000",70000,"A laptop stolen from 
            a building contained personally identifiable information of individuals 
            whose cases were opened before May 2001. The laptop was being used 
            as a backup system for the county's computer system. The data include 
            Social Security numbers, birth dates, driver's license numbers 
            and other private information.","Dataloss DB","2007",-121.3998995,39.2547027
"July 21, 2007","University of Michigan","Ann","Arbor","Hacking or Malware","Educational Institutions","5,500",5500,"University databases 
            were hacked. Names, addresses, Social Security numbers, birth dates, 
            and in some cases, the school districts where former students were 
            teaching were exposed.","Dataloss DB","2007",-83.7430378,42.2808256
"July 19, 2007","Cricket Communications","Omaha","Nebraska","Physical Loss","Business Other","300",300,"Documents stolen from 
            store result in loss of 300 credit card numbers.","Dataloss DB","2007",-95.9979883,41.2523634
"July 19, 2007","Jackson Local Schools","Massillon","Ohio","Unintended Disclosure","Educational Institutions","1,800",1800,"The Social Security 
            numbers of present and former Jackson Local Schools' employees 
            were at risk of public access on a county maintained Web site.","Dataloss DB","2007",-81.5215093,40.7967244
"July 18, 2007","Connecticut General Assembly Transportation Committee, L.G. Defelice","Hartford","Connecticut","Unintended Disclosure","Government and Military","300",300,"Social Security numbers 
            of former employees of defunct L.G. Defelice Inc. were posted on CT 
            transportation committee website.","Dataloss DB","2007",-72.6850932,41.7637111
"July 17, 2007","Western Union","Greenwood","Village","Hacking or Malware","Financial and Insurance Services","20,000",20000,"Credit card information 
            and names were hacked from a database. The thieves got names, addresses, 
            phone numbers and complete credit-card information.","Dataloss DB","2007",-104.9508141,39.6172101
"July 17, 2007","Louisiana Board of Regents","Baton","Rouge","Unintended Disclosure","Government and Military","80,000",80000,"Records of students 
            and staff including Social Security numbers,names, and addresses exposed 
            on web.  In all, more than 80,000 names and Social Security numbers 
            were accessible for perhaps as long as two years on an internal Internet 
            site.","Dataloss DB","2007",-91.1403196,30.4582829
"July 16, 2007","Transportation Security Administration (TSA)","Arlington","Virginia","Portable Device","Government and Military","100,000",1e+05,"Authorities realized 
            in May a storage device was missing from TSA headquarters. The drive 
            contained historical payroll data, Social Security numbers, dates 
            of birth, addresses, time and leave datas, bank account, routing information, 
            and details about financial allotments and deductions.","Media","2007",-77.0909809,38.8816208
"July 15, 2007","Westminster College","Salt","Lake","Unintended Disclosure","Educational Institutions","100",100,"Names of students, 
            former and current were printed in two files along with each student's 
            Social Security number. The files were on a student Web server used 
            by Westminster students.","Media","2007",-111.8910474,40.7607793
"July 13, 2007","City of Encinitas     ","Encinitas","California","Unintended Disclosure","Government and Military","1,200",1200,"Credit card or checking 
            account information and addresses of people who had enrolled in Encinitas' 
            youth recreation programs was inadvertently posted on the city's Web 
            site.","Dataloss DB","2007",-117.2919818,33.0369867
"July 13, 2007","Metropolitan St. Louis Sewer District","St","Louis","Insider","Government and Military","1,600",1600,"A employee had downloaded 
            Social Security numbers of current or former district employees to 
            a home computer. The Social Security numbers were part of a computer 
            file the district uses to make sure workers get the proper pay.","Dataloss DB","2007",-90.1994042,38.6270025
"July 11, 2007","South County Hospital","South","Kingstown","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","79",79,"Paperwork containing 
            personal details from customers was left in a briefcase inside a car 
            that was stolen. That batch of paperwork contained details including 
            names, addresses, Social Security numbers, phone numbers and a summary 
            of hospital accounts.","Dataloss DB","2007",-71.524667,41.4475686
"July 11, 2007","Disney Movie Club, Alta Resources, McNeil-PPC Inc","Neenah","Wisconsin","Insider","Business Other","0",0,"A contract employee 
            stole an unknown number of credit card numbers. Credit-card information 
            was sold by an employee of a Disney contractor to a federal agent 
            as part of an undercover sting operation.","Dataloss DB","2007",-88.462609,44.1858193
"July 9, 2007","Girl Scouts Mile Hi","Denver","Colorado","Portable Device","Nonprofits","0",0,"Tapes stolen from 
            a car held personal information from a membership database, including 
            names, addresses, phone numbers. A very limited number of credit card 
            numbers and Social Security numbers were included in the stolen data 
            from the camp and event registration database.","Media","2007",-104.990251,39.7392358
"July 7, 2007","Cuyahoga County Dept. of Development","Cleveland","Ohio","Portable Device","Government and Military","3,000",3000,"Names and Social Security 
            numbers on memory stick stolen in carjacking.","Dataloss DB","2007",-81.6943605,41.49932
"June 29, 2007","Harrison County Schools","Charleston","West","Stationary Device","Educational Institutions","0",0,"Several computers 
            that contained the personal information, including Social Security 
            numbers, of several Harrison County school employees were stolen. 
            Workers Comp claims between January of 2001 and February of 2007 are 
            at risk.","Dataloss DB","2007",-81.6326234,38.3498195
"June 27, 2007","Milwaukee PC","Milwaukee","Wisconsin","Unintended Disclosure","Retail Merchant Including Online Retail","65,000",65000,"Credit card information 
            for 65,000 was possibly compromised. A service center noticed a file 
            in their server and was concerned that file could contain customers' 
            credit card numbers and personal information.","Dataloss DB","2007",-87.9064736,43.0389025
"June 27, 2007","Bowling Green State University","Bowling","Green","Portable Device","Educational Institutions","199",199,"Lost storage device 
            contained Social Security numbers, and names of 199 former students.","Dataloss DB","2007",-83.6300826,41.3797788
"June 22, 2007","Texas First Bank","Texas","City","Portable Device","Financial and Insurance Services","4,000",4000,"Information such as 
            account numbers, Social Security numbers, names and addresses may 
            have been stored on a stolen laptop computer during a car theft in 
            Dallas.","Dataloss DB","2007",-94.9027002,29.383845
"June 20, 2007","American Airlines","Fort","Worth","Unintended Disclosure","Business Other","365",365,"Personal information 
            including Social Security numbers of pilots and other employees at 
            American Airlines, including the chief executive, was exposed on a 
            company Web site.","Dataloss DB","2007",-97.3307658,32.7554883
"June 20, 2007","University Community Hospital","Tampa","Florida","Unintended Disclosure","Healthcare Medical Providers and Medical Insurance Services","0",0,"A parent says his 
            son should never have received bills in the mail for a pre-employment 
            drug screening visit.  Additionally, he received information about 17 others
who were also tested, including Social Security numbers.

","Media","2007",-82.4571776,27.950575
"June 18, 2007","Parisexposed.com ","Bellevue","Washington","Unintended Disclosure","Business Other","750",750,"Investigation by 
            The Smoking Gun Web site said that by changing a few characters on 
            the web page URL it was possible to see the subscriber's name, email 
            address, password, phone number, mailing address and credit card number.","Dataloss DB","2007",-122.2015159,47.6101497
"June 18, 2007","Texas A&M University","Corpus","Christi","Portable Device","Educational Institutions","8,000",8000,"A professor vacationing 
            off the coast of Africa took data with him on a small computer storage device which 
            was lost or stolen. It is thought to contains SSNs and dates of birth 
            for students enrolled in the spring, summer and fall semesters of 
            2006","Dataloss DB","2007",-97.396381,27.8005828
"June 14, 2007","Hamburger Hamlet Restaurant","Los","Angeles","Insider","Business Other","40",40,"Former waitress made 
            off with the credit or debit card numbers of at least half a dozen 
            patrons - and possibly as many as 40. Already, about $16,300 in unauthorized 
            charges have been linked to the scam.","Media","2007",-118.2436849,34.0522342
"June 14, 2007","Lynchburg  City","Lynchburg","Virginia","Unintended Disclosure","Government and Military","1,200             Not included in total because it's not clear SSNs or account numbers              were exposed.",0,"Personal information              of Lynchburg city employees and retirees was accidentally posted on              the city's website among that information employee's prescription              medications.","Dataloss DB","2007",-79.1422464,37.4137536
"June 11, 2007","Pfizer","New","York","Unintended Disclosure","Business Other","17,000",17000,"Installation of certain 
            file sharing software on a Pfizer laptop, exposed files containing 
            names, Social Security numbers, addresses and bonus information of 
            present and former Pfizer colleagues. Investigation revealed that 
            certain files containing data were accessed and copied.","Dataloss DB","2007",-74.0059728,40.7127753
